subject,FA_proper,CR,FA_proper_rate,FA
1,33,201,0.141025641025641,1
2,61,161,0.274774774774775,25
3,37,185,0.166666666666667,4
4,56,169,0.248888888888889,4
5,77,149,0.34070796460177,4
6,58,163,0.262443438914027,1
7,24,201,0.106666666666667,18
8,12,216,0.0526315789473684,1
9,22,200,0.0990990990990991,3
10,57,170,0.251101321585903,4
11,36,189,0.16,3
12,49,176,0.217777777777778,6
13,9,222,0.038961038961039,18
15,67,159,0.29646017699115,1
16,13,214,0.0572687224669604,2
17,68,158,0.300884955752212,3
18,35,189,0.15625,11
19,41,184,0.182222222222222,20
20,45,181,0.199115044247788,2
21,18,208,0.079646017699115,1
22,47,178,0.208888888888889,12
23,17,205,0.0765765765765766,2
24,115,111,0.508849557522124,7
25,27,200,0.118942731277533,17
26,11,212,0.0493273542600897,1
27,20,206,0.0884955752212389,4
28,21,203,0.09375,26
29,35,188,0.15695067264574,8
30,60,165,0.266666666666667,44
31,34,192,0.150442477876106,16
32,22,202,0.0982142857142857,17
33,25,203,0.109649122807018,25
34,30,199,0.131004366812227,15
35,78,145,0.349775784753363,21
36,36,187,0.161434977578475,5
37,20,205,0.0888888888888889,11
38,4,219,0.0179372197309417,2
39,26,200,0.115044247787611,5
40,6,219,0.0266666666666667,4
41,5,220,0.0222222222222222,0
43,3,222,0.0133333333333333,3
44,10,212,0.045045045045045,4
45,55,173,0.241228070175439,5
46,65,164,0.283842794759825,11
47,32,191,0.143497757847534,2
48,27,200,0.118942731277533,3
49,13,211,0.0580357142857143,23
50,78,146,0.348214285714286,23
51,35,194,0.152838427947598,10
52,73,151,0.325892857142857,7
